                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68185,                 4.2162,                0.93864,                      0,                      0,                      0,                      0,                0.50474,                 4.0528,                0.96118,                      0,                      0,                      0
                      2,                0.80777,                 4.4439,                 1.0375,                      0,                      0,                      0,                      0,                0.50211,                 4.0519,                0.95454,               8.64e-06,               8.64e-06,               8.64e-06
                      3,                 1.0289,                  4.388,                 1.1617,                      0,                      0,                      0,                      0,                 0.4977,                  4.053,                 0.9522,              1.638e-05,              1.638e-05,              1.638e-05
                      4,                 0.7047,                 4.2399,                 1.0661,                0.00952,                    0.5,                0.00764,                0.00076,                0.46082,                 4.0497,                 0.9415,              2.322e-05,              2.322e-05,              2.322e-05
                      5,                0.70647,                 4.2553,                 1.0731,                0.00935,                    0.5,                0.00749,                0.00075,                0.45997,                 4.0461,                 0.9327,             2.9161e-05,             2.9161e-05,             2.9161e-05
                      6,                0.91016,                 4.3328,                 1.1053,                 0.0099,                    0.5,                0.00931,                0.00186,                0.37705,                 4.0454,                0.92991,             3.4201e-05,             3.4201e-05,             3.4201e-05
                      7,                0.82165,                 4.2273,                 1.0992,                0.02062,                      1,                0.03715,                0.02192,                0.41768,                 3.9533,                0.94396,             3.8342e-05,             3.8342e-05,             3.8342e-05
                      8,                0.64402,                 4.2018,                 1.0002,                0.02273,                      1,                0.06674,                0.05003,                0.38851,                 3.9078,                0.93655,             4.1582e-05,             4.1582e-05,             4.1582e-05
                      9,                0.63237,                 4.1541,                 1.0341,                0.02353,                      1,                0.09774,                0.08211,                0.44947,                 3.7795,                0.93988,             4.3923e-05,             4.3923e-05,             4.3923e-05
                     10,                0.60898,                 4.0882,                0.96704,                0.02703,                      1,                0.18625,                0.16763,                0.46555,                  3.601,                0.92055,             4.5364e-05,             4.5364e-05,             4.5364e-05
                     11,                0.58503,                 4.1836,                0.99244,                 0.0303,                      1,                0.33167,                0.30714,                0.47321,                 3.4937,                0.91038,             4.5905e-05,             4.5905e-05,             4.5905e-05
                     12,                0.68412,                 4.0868,                0.96271,                0.03333,                      1,                  0.398,                0.36853,                0.41874,                 3.4431,                0.89864,             4.5545e-05,             4.5545e-05,             4.5545e-05
                     13,                0.59601,                 4.0822,                0.91324,                0.03636,                      1,                  0.398,                0.36856,                0.41678,                 3.4456,                0.89918,             4.4286e-05,             4.4286e-05,             4.4286e-05
                     14,                0.66116,                  4.333,                0.97952,                0.03774,                      1,                  0.398,                0.36858,                0.41908,                 3.4447,                0.89935,             4.2128e-05,             4.2128e-05,             4.2128e-05
                     15,                0.51215,                 3.8321,                0.88996,                0.04082,                      1,                 0.4475,                0.41317,                0.41257,                 3.4405,                0.89417,             3.9069e-05,             3.9069e-05,             3.9069e-05
                     16,                0.57506,                  3.875,                0.86473,                0.04348,                      1,                 0.4975,                0.46068,                0.41811,                 3.4299,                0.89275,              3.511e-05,              3.511e-05,              3.511e-05
                     17,                 0.6304,                 3.9518,                0.91498,                0.04878,                      1,                 0.4975,                0.46075,                0.41349,                 3.4215,                0.89138,             3.0252e-05,             3.0252e-05,             3.0252e-05
                     18,                0.60518,                 3.8978,                0.86147,                0.04878,                      1,                 0.4975,                0.46075,                0.41349,                 3.4215,                0.89138,             2.4493e-05,             2.4493e-05,             2.4493e-05
                     19,                0.73035,                 3.8249,                0.91858,                0.05128,                      1,                0.66333,                0.61415,                 0.4198,                 3.4174,                0.89144,             1.7835e-05,             1.7835e-05,             1.7835e-05
                     20,                0.61917,                 3.4855,                0.93738,                0.05128,                      1,                0.66333,                0.61415,                 0.4198,                 3.4174,                0.89144,             1.0276e-05,             1.0276e-05,             1.0276e-05
