                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69985,                 1.4164,                0.94806,                0.77671,                0.70126,                0.77844,                0.67361,                0.55457,                0.97189,                0.87692,              0.0005538,              0.0005538,              0.0005538
                      2,                0.67284,                0.93999,                0.93307,                0.73049,                0.77567,                 0.8028,                0.69631,                0.56701,                0.83357,                0.88788,              0.0010985,              0.0010985,              0.0010985
                      3,                0.67985,                  0.854,                0.94612,                0.78906,                0.78543,                0.85428,                 0.7302,                0.57926,                0.75913,                0.90739,              0.0016322,              0.0016322,              0.0016322
                      4,                0.65334,                0.78206,                0.93682,                0.80306,                0.81218,                0.86201,                0.75694,                0.53873,                0.71181,                 0.8988,              0.0016175,              0.0016175,              0.0016175
                      5,                0.63106,                0.73416,                0.93119,                0.78225,                0.80785,                0.86498,                 0.7574,                0.53898,                0.77143,                0.90291,               0.001601,               0.001601,               0.001601
                      6,                0.61873,                0.69842,                0.92785,                0.79462,                0.82143,                0.86638,                0.74939,                0.53585,                0.64272,                0.89953,              0.0015845,              0.0015845,              0.0015845
                      7,                0.60447,                0.67896,                0.91906,                0.83278,                0.81299,                0.89014,                 0.7837,                0.50708,                0.59933,                0.88266,               0.001568,               0.001568,               0.001568
                      8,                0.59484,                0.65853,                0.91496,                0.83601,                0.79683,                0.86977,                0.75754,                0.51435,                0.60505,                0.89325,              0.0015515,              0.0015515,              0.0015515
                      9,                0.59148,                0.64643,                0.91835,                 0.8202,                 0.8357,                0.88748,                0.78454,                0.50028,                0.57697,                0.88322,               0.001535,               0.001535,               0.001535
                     10,                0.57194,                0.62649,                0.90985,                0.82365,                0.83593,                0.89348,                0.78821,                0.50211,                0.57198,                0.88601,              0.0015185,              0.0015185,              0.0015185
                     11,                0.57084,                 0.6098,                0.90759,                0.86119,                0.79843,                0.88932,                0.79168,                0.48589,                0.55496,                 0.8829,               0.001502,               0.001502,               0.001502
                     12,                0.56684,                0.60347,                0.90702,                0.86347,                0.82736,                0.90175,                0.80389,                0.47966,                0.53272,                0.87303,              0.0014855,              0.0014855,              0.0014855
                     13,                0.55906,                0.59796,                0.90393,                0.83132,                0.83279,                0.89251,                 0.7914,                0.48837,                0.56367,                0.88215,               0.001469,               0.001469,               0.001469
                     14,                0.55565,                0.59678,                0.90306,                0.83927,                0.85869,                0.90539,                0.80769,                 0.4701,                0.51515,                0.88278,              0.0014525,              0.0014525,              0.0014525
                     15,                0.55295,                 0.5862,                0.90181,                0.84113,                0.84177,                0.90088,                0.80733,                0.47034,                0.52629,                 0.8755,               0.001436,               0.001436,               0.001436
                     16,                0.54897,                0.57001,                0.89772,                0.84762,                0.81314,                0.88699,                0.79733,                0.47863,                0.56032,                0.88781,              0.0014195,              0.0014195,              0.0014195
                     17,                0.54496,                0.56328,                0.89873,                0.84357,                 0.8464,                0.90528,                0.81529,                0.45744,                 0.5116,                0.87692,              0.0014029,              0.0014029,              0.0014029
                     18,                 0.5321,                0.55127,                0.89113,                0.84755,                0.83137,                0.90706,                 0.8183,                0.45941,                0.50605,                0.87471,              0.0013864,              0.0013864,              0.0013864
                     19,                0.53208,                0.53992,                 0.8922,                0.86556,                0.82489,                0.90826,                0.81996,                 0.4566,                0.50605,                0.86847,              0.0013699,              0.0013699,              0.0013699
                     20,                0.52733,                0.54569,                0.89154,                0.82842,                 0.8423,                0.89453,                0.79942,                0.44991,                0.54501,                0.87231,              0.0013534,              0.0013534,              0.0013534
                     21,                 0.5259,                0.53615,                0.89057,                 0.8708,                0.85244,                0.91523,                 0.8289,                0.43983,                0.49627,                0.86044,              0.0013369,              0.0013369,              0.0013369
                     22,                0.52596,                0.53347,                0.88856,                0.86791,                0.84292,                0.91829,                0.83195,                0.43858,                0.49204,                0.86567,              0.0013204,              0.0013204,              0.0013204
                     23,                0.52073,                0.52614,                0.89031,                0.84748,                0.85167,                0.91028,                0.81934,                0.45461,                0.50278,                0.86652,              0.0013039,              0.0013039,              0.0013039
                     24,                0.52166,                0.51863,                0.88962,                0.88279,                0.84401,                0.91829,                0.82779,                0.43923,                0.47627,                0.86571,              0.0012874,              0.0012874,              0.0012874
                     25,                0.52134,                0.51875,                0.88795,                0.89162,                0.83119,                0.92026,                0.82815,                0.44551,                0.46894,                0.87184,              0.0012709,              0.0012709,              0.0012709
                     26,                0.51893,                0.51272,                0.88785,                0.85637,                0.85433,                 0.9047,                0.80786,                 0.4642,                 0.5223,                0.88058,              0.0012544,              0.0012544,              0.0012544
                     27,                 0.5178,                0.50997,                0.88509,                0.88913,                0.83072,                0.91572,                 0.8299,                0.44296,                0.47882,                0.86287,              0.0012379,              0.0012379,              0.0012379
                     28,                0.51065,                0.49677,                0.88336,                0.88004,                  0.851,                0.92042,                 0.8342,                0.43152,                0.46688,                0.87041,              0.0012214,              0.0012214,              0.0012214
                     29,                0.50614,                0.49077,                 0.8813,                0.88271,                0.85003,                0.92622,                0.83987,                0.43389,                 0.4634,                0.86142,              0.0012049,              0.0012049,              0.0012049
                     30,                0.50093,                0.48527,                0.88154,                0.86043,                0.86255,                0.91466,                0.82511,                0.45216,                0.48312,                0.87679,              0.0011884,              0.0011884,              0.0011884
                     31,                0.49909,                0.48618,                0.88112,                0.88441,                 0.8466,                0.91886,                0.83641,                0.43647,                0.46213,                0.86901,              0.0011719,              0.0011719,              0.0011719
                     32,                0.50199,                0.48475,                0.87948,                0.89055,                0.84619,                0.92115,                0.83677,                0.42832,                0.45416,                 0.8576,              0.0011554,              0.0011554,              0.0011554
                     33,                0.49457,                0.47206,                0.87721,                0.89158,                0.86798,                0.92956,                 0.8437,                0.42255,                0.44281,                0.86387,              0.0011389,              0.0011389,              0.0011389
